tax_id	Org_name	GeneID	CurrentID	Status	Symbol	Aliases	description	other_designations	map_location	chromosome	genomic_nucleotide_accession.version	start_position_on_the_genomic_accession	end_position_on_the_genomic_accession	orientation	exon_count	OMIM
9606	Homo sapiens	7157	0	live	TP53	"BCC7, BMFS5, LFS1, P53, TRP53"	tumor protein p53	cellular tumor antigen p53|antigen NY-CO-13|mutant tumor protein 53|phosphoprotein p53|transformation-related protein 53|tumor protein 53|tumor supressor p53	17p13.1	17	NC_000017.11	7668421	7687490	minus	13	191170
9606	Homo sapiens	7124	0	live	TNF	"DIF-alpha, TNFA, TNFSF2, TNLG1F, TNF"	tumor necrosis factor	"tumor necrosis factor|APC1 protein|TNF, macrophage-derived|TNF, monocyte-derived|TNF-a|tumor necrosis factor ligand 1F|tumor necrosis factor ligand superfamily member 2|tumor necrosis factor-alpha|tumor necrotic factor alpha"	6p21.33	6	NC_000006.12	31575565	31578336	plus	4	191160
9606	Homo sapiens	7422	0	live	VEGFA	"L-VEGF, MVCD1, VEGF, VPF"	vascular endothelial growth factor A	"vascular endothelial growth factor A, long form|vascular endothelial growth factor A121|vascular endothelial growth factor A165|vascular permeability factor"	6p21.1	6	NC_000006.12	43770211	43786487	plus	9	192240
9606	Homo sapiens	3569	0	live	IL6	"BSF-2, BSF2, CDF, HGF, HSF, IFN-beta-2, IFNB2, IL-6"	interleukin 6	interleukin-6|B-cell differentiation factor|B-cell stimulatory factor 2|CTL differentiation factor|hybridoma growth factor|interferon beta-2|interleukin BSF-2	7p15.3	7	NC_000007.14	22727200	22731998	plus	5	147620
9606	Homo sapiens	7040	0	live	TGFB1	"CED, DPD1, IBDIMDE, LAP, TGF-beta1, TGFB, TGFbeta"	transforming growth factor beta 1	transforming growth factor beta-1 proprotein|TGF-beta-1|latency-associated peptide|prepro-transforming growth factor beta-1|transforming growth factor beta1	19q13.2	19	NC_000019.10	41330323	41353922	minus	7	190180
10090	Mus musculus	22059	0	live	Trp53	"Tp53, bbl, bfy, bhy, p44, p53"	transformation related protein 53	cellular tumor antigen p53|ME-delta123p53|mutant p53|p53 cellular tumor antigen|tumor suppressor p53|tumor supressor p53	11 42.83 cM	11	NC_000077.7	69471174	69482699	plus	12	
9606	Homo sapiens	7421	0	live	VDR	"NR1I1, PPP1R163"	vitamin D receptor	"vitamin D3 receptor|1,25-dihydroxyvitamin D3 receptor|nuclear receptor subfamily 1 group I member 1|protein phosphatase 1, regulatory subunit 163|vitamin D (1,25- dihydroxyvitamin D3) receptor"	12q13.11	12	NC_000012.12	47841537	47904994	minus	12	601769
10090	Mus musculus	21898	0	live	Tlr4	"Lps, Ly87, Ran/M1, Rasl2-8"	toll-like receptor 4	toll-like receptor 4|Toll like receptor 4|lipopolysaccharide response	4 34.66 cM	4	NC_000070.7	66745788	66765338	plus	3	
9606	Homo sapiens	4790	0	live	NFKB1	"CVID12, EBP-1, KBF1, NF-kB, NF-kB1, NF-kappa-B1, NF-kappaB, NF-kappabeta, NFKB-p105, NFKB-p50, NFkappaB"	nuclear factor kappa B subunit 1	nuclear factor NF-kappa-B p105 subunit|DNA-binding factor KBF1|nuclear factor NF-kappa-B p50 subunit|nuclear factor kappa-B DNA binding subunit|nuclear factor of kappa light polypeptide gene enhancer in B-cells 1	4q24	4	NC_000004.12	102501359	102617302	plus	27	164011
9606	Homo sapiens	3553	0	live	IL1B	"IL-1, IL1-BETA, IL1F2, IL1beta"	interleukin 1 beta	interleukin-1 beta|IL-1 beta|catabolin|interleukin 1beta|preinterleukin 1 beta|pro-interleukin-1-beta	2q14.1	2	NC_000002.12	112829751	112836779	minus	8	147720
9606	Homo sapiens	1080	0	live	CFTR	"ABC35, ABCC7, CF/MRP, MRP7, TNR-CFTR, dJ760C5.1, CFTR"	CF transmembrane conductance regulator	"cystic fibrosis transmembrane conductance regulator|cAMP-dependent chloride channel|channel conductance-controlling ATPase|cystic fibrosis transmembrane conductance regulating|cystic fibrosis transmembrane conductance regulator (ATP-binding cassette sub-family C, member 7)"	7q31.2	7	NC_000007.14	117480025	117668665	plus	27	602421
10090	Mus musculus	15978	0	live	Ifng	"IFN-g, If2f, Ifg"	interferon gamma	interferon gamma|IFN-gamma|gamma interferon|interferon 2f	10 66.75 cM	10	NC_000076.7	118276951	118281799	plus	4	
10090	Mus musculus	16153	0	live	Il10	"CSIF, If2a, Il-10"	interleukin 10	interleukin-10|cytokine synthesis inhibitory factor|interferon 2a	1 56.89 cM	1	NC_000067.7	130947459	130952707	plus	5	
9606	Homo sapiens	3106	0	live	HLA-B	"AS, B-4901, HLAB"	"major histocompatibility complex, class I, B"	"major histocompatibility complex, class I, B|HLA class I antigen HLA-B|HLA class I histocompatibility antigen, B alpha chain|MHC HLA-B cell surface glycoprotein|MHC HLA-B transmembrane glycoprotein|MHC class 1 antigen|MHC class I antigen HLA-B alpha chain|MHC class I antigen HLA-B heavy chain|MHC class I antigen SHCHA|MHC class I molecule|leukocyte antigen class I-B"	6p21.33	6	NC_000006.12	31353875	31357179	minus	8	142830
9606	Homo sapiens	596	0	live	BCL2	"Bcl-2, PPP1R50"	BCL2 apoptosis regulator	"apoptosis regulator Bcl-2|B-cell CLL/lymphoma 2|protein phosphatase 1, regulatory subunit 50"	18q21.33	18	NC_000018.10	63123346	63320090	minus	4	151430
10090	Mus musculus	16193	0	live	Il6	Il-6	interleukin 6	interleukin-6|B-cell hybridoma growth factor|interleukin HP-1	5 15.7 cM	5	NC_000071.7	30218112	30224973	plus	5	
10090	Mus musculus	21803	0	live	Tgfb1	"TGF-beta1, TGFbeta1, Tgfb, Tgfb-1"	"transforming growth factor, beta 1"	transforming growth factor beta-1 proprotein	7 13.98 cM	7	NC_000073.7	25386406	25404503	plus	7	
10090	Mus musculus	12387	0	live	Ctnnb1	"Bfc, Catnb, Mesc"	catenin beta 1	"catenin beta-1|beta-catenin|catenin (cadherin associated protein), beta 1"	9 72.19 cM	9	NC_000075.7	120762466	120789573	plus	15	
10090	Mus musculus	13405	0	live	Dmd	"DXSmh7, DXSmh9, Dp427, Dp71, dys, mdx, pke"	"dystrophin, muscular dystrophy"	"dystrophin|X-linked muscular dystrophy|dystrophin Dp427-E40e|dystrophin Dp71d(delta71,73-74)|dystrophin Dp71f-delta71,74|dystrophin E40e|dystrophin E51b|dystrophin delta-E40e"	X 38.38 cM	X	NC_000086.8	81858244	84248656	plus	85	
